Country,Project Name,Unit Name,Project Name in Local Language / Script,Other Name(s),Capacity (MW),Fuel 1,Fuel 2,Fuel 3,Operating Status,Is conversion?,Start year,Retired year,Operator,Operator Name in Local Language / Script,Owner,Owner Name in Local Language / Script,Latitude,Longitude,Location accuracy,City,"Local area (taluk, county)","Major area (prefecture, district)",State/Province,Subregion,Region,GEM location ID,GEM phase ID,Other IDs (location),Other IDs (unit/phase),Wiki URL
Brazil,Da Pedra power station,1,Usina sucroenergética Da Pedra,,35,agricultural waste (solids),,,operating,no conversion,2012,,Pedra Agroindustrial,,Pedra Agroindustrial,,-21.1743,-47.6300,exact,Serrana,,,São Paulo,Latin America and the Caribbean,Americas,L200488,G200552,"WRI: BRA0030453, ANEEL: UTE.AI.SP.030453-0.1",,https://gem.wiki/Da_Pedra_power_station
Brazil,Da Pedra power station,2,Usina sucroenergética Da Pedra,,35,agricultural waste (solids),,,operating,no conversion,2012,,Pedra Agroindustrial,,Pedra Agroindustrial,,-21.1743,-47.6300,exact,Serrana,,,São Paulo,Latin America and the Caribbean,Americas,L200488,G200553,"WRI: BRA0030453, ANEEL: UTE.AI.SP.030453-0.1",,https://gem.wiki/Da_Pedra_power_station
Brazil,Decasa power station,1,Usina sucroenergética Decasa,,33,agricultural waste (solids),,,operating,no conversion,2004,,Enercasa - Energia Caiuá SA,,Enercasa - Energia Caiuá SA,,-22.7673,-50.1128,exact,Ibirarema,,,São Paulo,Latin America and the Caribbean,Americas,L200489,G200554,"WRI: BRA0028051, ANEEL: UTE.AI.SP.028051-8.1",,https://gem.wiki/Decasa_power_station
Brazil,Delta power station,1,Usina sucroenergética Delta,,102,agricultural waste (solids),,,operating,no conversion,2001,,Delta Sucroenergia SA,,Delta Sucroenergia SA,,-19.9448,-47.8128,exact,Delta,,,Minas Gerais,Latin America and the Caribbean,Americas,L200490,G200555,"ANEEL: UTE.AI.MG.028219-7.1, WRI: BRA0028219",,https://gem.wiki/Delta_power_station
Brazil,Eldorado Brasil power station,1,Usina de biomassa Eldorado Brasil,,113,paper mill wastes,,,operating,no conversion,2013,,Usina Eldorado SA,,Usina Eldorado SA,,-20.5988,-51.6096,exact,Três Lagoas,,,Mato Grosso do Sul,Latin America and the Caribbean,Americas,L200492,G200557,"WRI: BRA0030583, ANEEL: UTE.FL.MS.030583-9.1",,https://gem.wiki/Eldorado_Brasil_power_station
Brazil,Eldorado Brasil power station,2,Usina de biomassa Eldorado Brasil,,113,paper mill wastes,,,operating,no conversion,2013,,Usina Eldorado SA,,Usina Eldorado SA,,-20.5988,-51.6096,exact,Três Lagoas,,,Mato Grosso do Sul,Latin America and the Caribbean,Americas,L200492,G200558,"WRI: BRA0030583, ANEEL: UTE.FL.MS.030583-9.1",,https://gem.wiki/Eldorado_Brasil_power_station
Brazil,Eldorado power station,2,Usina sucroenergética Eldorado,,58,agricultural waste (solids),,,operating,no conversion,2015,,Usina Eldorado SA,,Usina Eldorado SA,,-21.8648,-54.0222,exact,Rio Brilhante,,,Mato Grosso do Sul,Latin America and the Caribbean,Americas,L200493,G200559,"ANEEL: UTE.AI.MS.029193-5.1, WRI: BRA0029193",,https://gem.wiki/Eldorado_power_station
Brazil,Eldorado power station,3,Usina sucroenergética Eldorado,,58,agricultural waste (solids),,,operating,no conversion,2015,,Usina Eldorado SA,,Usina Eldorado SA,,-21.8648,-54.0222,exact,Rio Brilhante,,,Mato Grosso do Sul,Latin America and the Caribbean,Americas,L200493,G200560,"ANEEL: UTE.AI.MS.029193-5.1, WRI: BRA0029193",,https://gem.wiki/Eldorado_power_station
Brazil,Energética Tupaciguara power station,1,Usina sucroenergética Energética Tupaciguara,Central Energética Tupaciguara,35,agricultural waste (solids),,,operating,no conversion,2020,,Central Energética Tupaciguara Ltda,,Central Energética Tupaciguara Ltda,,-18.7557,-48.6118,exact,Tupaciguara,,,Minas Gerais,Latin America and the Caribbean,Americas,L200494,G200561,ANEEL: UTE.AI.MG.038176-4.1,,https://gem.wiki/Energética_Tupaciguara_power_station
Brazil,Enervale power station,1,Usina sucroenergética Enervale,,30,agricultural waste (solids),,,operating,no conversion,2012,,Central Bioenergética Enervale SA,,Central Bioenergética Enervale SA,,-17.0638,-46.1801,exact,João Pinheiro,,,Minas Gerais,Latin America and the Caribbean,Americas,L200495,G200562,"WRI: BRA0030850, ANEEL: UTE.AI.MG.030850-1.1",,https://gem.wiki/Enervale_power_station
Brazil,Equipav II power station,1,Usina sucroenergética Equipav II,Madhu,40,agricultural waste (solids),,,operating,no conversion,2008,,Renuka do Brasil SA,,Renuka do Brasil SA,,-21.5602,-49.8695,exact,Promissão,,,São Paulo,Latin America and the Caribbean,Americas,L200496,G200563,"WRI: BRA0029765, ANEEL: UTE.AI.SP.029765-8.1",,https://gem.wiki/Equipav_II_power_station
Brazil,Equipav II power station,2,Usina sucroenergética Equipav II,Madhu,40,agricultural waste (solids),,,operating,no conversion,2008,,Renuka do Brasil SA,,Renuka do Brasil SA,,-21.5602,-49.8695,exact,Promissão,,,São Paulo,Latin America and the Caribbean,Americas,L200496,G200564,"WRI: BRA0029765, ANEEL: UTE.AI.SP.029765-8.1",,https://gem.wiki/Equipav_II_power_station
Brazil,Equipav power station,1,Usina sucroenergética Equipav,Usina Madhu 3,58,agricultural waste (solids),,,operating,no conversion,2002,,Renuka do Brasil SA,,Renuka do Brasil SA,,-21.5607,-49.8700,exact,Promissão,,,São Paulo,Latin America and the Caribbean,Americas,L200497,G200565,"WRI: BRA0028101, ANEEL: UTE.AI.SP.028101-8.1",,https://gem.wiki/Equipav_power_station
Brazil,Esplanada power station,1,Usina sucroenergética Esplanada,Jalles Machado,65,agricultural waste (solids),,,operating,no conversion,2003,,Albioma Esplanada Energia SA,,Albioma Esplanada Energia SA,,-15.2170,-48.9887,exact,Goianésia,,,Goiás,Latin America and the Caribbean,Americas,L200498,G200566,"WRI: BRA0028112, ANEEL: UTE.AI.GO.028112-3.1",,https://gem.wiki/Esplanada_power_station
Brazil,Ester power station,1,Usina sucroenergética Ester,,40,agricultural waste (solids),,,operating,no conversion,1954,,CPFL Bio Ester Ltda,,CPFL Bio Ester Ltda,,-22.6573,-47.2109,exact,Cosmópolis,,,São Paulo,Latin America and the Caribbean,Americas,L200499,G200567,"WRI: BRA0000912, ANEEL: UTE.AI.SP.000912-1.1",,https://gem.wiki/Ester_power_station
Brazil,F&S Agri Solutions power station,1,Usina de biomassa F&S Agri Solutions,,30,wood & other biomass (solids),,,operating,no conversion,2017,,FS Agrisolutions Industria de Biocombustiveis Ltda,,FS Agrisolutions Industria de Biocombustiveis Ltda,,-13.0015,-55.9462,exact,Lucas do Rio Verde,,,Mato Grosso,Latin America and the Caribbean,Americas,L200500,G200568,ANEEL: UTE.FL.MT.034035-9.1,,https://gem.wiki/F&S_Agri_Solutions_power_station
Brazil,Fartura power station,1,Usina sucroenergética Fartura,Unidade Mendonça,62,agricultural waste (solids),,,operating,no conversion,2006,,Usina Santa Isabel SA,,Usina Santa Isabel SA,,-21.1528,-49.6114,exact,Mendonça,,,São Paulo,Latin America and the Caribbean,Americas,L200501,G200569,ANEEL: UTE.AI.SP.029203-6.1,,https://gem.wiki/Fartura_power_station
Brazil,Fênix power station,1,Usina de biomassa Fênix,Agrenco - Mato Grosso,32,wood & other biomass (solids),,,operating,no conversion,2021,,Fênix Complexo Industrial SA,,Fênix Complexo Industrial SA,,-17.2941,-53.2767,exact,Alto Araguaia,,,Mato Grosso,Latin America and the Caribbean,Americas,L200502,G200570,"WRI: BRA0029649, ANEEL: UTE.FL.MT.029649-0.2",,https://gem.wiki/Fênix_power_station
